               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04934,            0.036761,            0.013937,             0.71851,             0.79345,             0.79764,             0.38939,            0.029597,            0.010714,           0.0032101,            0.003329,            0.003329,            0.070039
                   1,            0.036444,            0.031226,           0.0045381,              0.8372,             0.86127,             0.92195,              0.5866,            0.024217,           0.0081202,           0.0019271,           0.0066619,           0.0066619,            0.040039
                   2,            0.034078,            0.029824,           0.0031582,             0.95406,             0.85811,             0.94568,             0.63486,             0.02373,           0.0081331,           0.0015556,           0.0099934,           0.0099934,            0.010037
                   3,            0.029915,            0.028995,           0.0027998,             0.95194,             0.85798,              0.9492,             0.64964,            0.021713,           0.0082115,            0.001045,            0.009995,            0.009995,            0.009995
                   4,             0.02564,            0.026523,           0.0020323,             0.95931,             0.93324,             0.96885,              0.7361,            0.019655,           0.0070051,          0.00090316,            0.009995,            0.009995,            0.009995
                   5,            0.023514,            0.027577,           0.0017698,             0.94811,             0.91477,             0.97278,             0.75052,            0.017619,           0.0074707,          0.00064584,           0.0099911,           0.0099911,           0.0099911
                   6,            0.022393,            0.026382,           0.0016188,             0.96213,             0.92937,             0.98059,             0.76826,            0.016821,           0.0065657,          0.00073893,           0.0099861,           0.0099861,           0.0099861
                   7,            0.022048,            0.024426,           0.0014414,             0.96878,             0.94481,             0.98597,             0.77294,            0.015877,           0.0064652,          0.00062887,             0.00998,             0.00998,             0.00998
                   8,            0.021309,            0.024444,           0.0012695,             0.96792,             0.94562,             0.98702,             0.79227,            0.016481,           0.0061869,          0.00041283,           0.0099728,           0.0099728,           0.0099728
                   9,            0.021193,            0.024975,           0.0013409,             0.98874,              0.9341,             0.98848,             0.79789,            0.015308,           0.0062499,          0.00041648,           0.0099645,           0.0099645,           0.0099645
                  10,            0.020874,            0.024688,           0.0011416,             0.95629,             0.91224,             0.97317,             0.75404,            0.017201,           0.0073028,          0.00038966,           0.0099551,           0.0099551,           0.0099551
                  11,            0.019476,            0.022706,          0.00088848,             0.97217,             0.95604,             0.98978,             0.80464,            0.015472,           0.0059297,           0.0004114,           0.0099446,           0.0099446,           0.0099446
                  12,            0.019767,            0.024523,          0.00094165,             0.96915,              0.9489,             0.98312,             0.79163,            0.016214,           0.0062678,          0.00051734,            0.009933,            0.009933,            0.009933
                  13,             0.01912,            0.023051,          0.00092932,             0.97616,             0.95761,             0.98781,             0.80441,            0.016648,           0.0060561,          0.00035411,           0.0099203,           0.0099203,           0.0099203
                  14,            0.019297,            0.023865,          0.00087399,             0.98516,              0.9601,             0.99003,             0.81291,            0.015722,           0.0058879,          0.00040195,           0.0099065,           0.0099065,           0.0099065
                  15,            0.019199,            0.023207,          0.00080253,             0.96938,             0.96367,             0.98941,              0.8127,            0.015561,            0.005756,          0.00036755,           0.0098916,           0.0098916,           0.0098916
                  16,            0.019064,            0.023083,          0.00081417,             0.98451,             0.94687,             0.99008,             0.82194,             0.01488,           0.0057684,          0.00058796,           0.0098757,           0.0098757,           0.0098757
                  17,            0.018539,            0.022251,          0.00098929,             0.98153,             0.95177,             0.98779,             0.81043,            0.015395,           0.0058136,          0.00033527,           0.0098586,           0.0098586,           0.0098586
                  18,            0.018845,            0.022724,          0.00073903,             0.97077,             0.97856,             0.99264,              0.8273,            0.015585,           0.0057289,          0.00033017,           0.0098405,           0.0098405,           0.0098405
                  19,            0.018166,            0.022722,          0.00081913,             0.97355,              0.9641,             0.99061,             0.82518,            0.014573,           0.0057287,          0.00028381,           0.0098213,           0.0098213,           0.0098213
                  20,            0.018002,            0.022668,          0.00069461,              0.9751,              0.9751,              0.9914,             0.82276,            0.014714,           0.0057209,          0.00028358,           0.0098011,           0.0098011,           0.0098011
                  21,            0.018716,             0.02354,          0.00074783,              0.9722,             0.96653,             0.98944,             0.82097,            0.014927,           0.0058319,          0.00034568,           0.0097798,           0.0097798,           0.0097798
                  22,            0.018064,            0.022523,          0.00076428,             0.98124,              0.9639,               0.992,             0.82437,            0.014745,           0.0056754,          0.00027584,           0.0097574,           0.0097574,           0.0097574
                  23,            0.017787,            0.020652,          0.00067075,             0.96687,             0.97281,             0.99166,             0.83237,            0.014597,           0.0056079,          0.00033881,            0.009734,            0.009734,            0.009734
                  24,            0.017931,            0.021517,          0.00070795,             0.97116,             0.95425,             0.98862,             0.81573,            0.014603,           0.0061214,          0.00030331,           0.0097095,           0.0097095,           0.0097095
                  25,            0.017554,            0.021051,          0.00072146,             0.98148,             0.96761,             0.99007,             0.81649,            0.014427,           0.0055761,          0.00027341,            0.009684,            0.009684,            0.009684
                  26,            0.017843,            0.021639,          0.00059231,              0.9691,             0.98022,             0.99195,             0.83362,            0.014228,           0.0055345,          0.00033451,           0.0096575,           0.0096575,           0.0096575
                  27,            0.017732,            0.021495,          0.00059026,             0.98915,             0.96504,             0.99228,             0.83684,            0.014096,           0.0055364,          0.00028047,           0.0096299,           0.0096299,           0.0096299
                  28,            0.017865,            0.022914,          0.00073597,             0.97041,             0.95577,              0.9873,              0.8257,            0.014802,           0.0057843,          0.00026108,           0.0096013,           0.0096013,           0.0096013
                  29,            0.017096,            0.021573,             0.00059,             0.97091,             0.97911,             0.99261,             0.83799,            0.014247,           0.0055046,           0.0002604,           0.0095717,           0.0095717,           0.0095717
                  30,            0.017575,            0.021865,          0.00061357,              0.9884,             0.96713,             0.99108,             0.83249,            0.014142,           0.0054726,          0.00038477,           0.0095411,           0.0095411,           0.0095411
                  31,             0.01696,            0.020823,          0.00068071,             0.97691,             0.97225,             0.99232,             0.83964,            0.014113,           0.0054739,          0.00019775,           0.0095095,           0.0095095,           0.0095095
                  32,            0.017393,            0.020231,          0.00061461,             0.97997,             0.97808,             0.99278,             0.83432,            0.014336,            0.005557,          0.00029091,           0.0094769,           0.0094769,           0.0094769
                  33,            0.017053,            0.021452,          0.00061106,             0.97282,             0.98258,             0.99268,              0.8315,            0.014432,           0.0054816,          0.00040222,           0.0094434,           0.0094434,           0.0094434
                  34,            0.016939,            0.021473,          0.00058993,             0.97858,             0.97753,             0.99293,             0.83915,            0.014388,           0.0054472,          0.00028652,           0.0094088,           0.0094088,           0.0094088
                  35,            0.017043,            0.022078,          0.00052057,             0.98028,              0.9758,             0.99257,             0.84495,            0.014078,           0.0054447,          0.00026055,           0.0093733,           0.0093733,           0.0093733
                  36,            0.016998,            0.020385,          0.00056196,             0.98011,             0.97175,             0.99215,             0.84306,            0.014537,           0.0054037,          0.00025635,           0.0093369,           0.0093369,           0.0093369
                  37,            0.016847,            0.020793,          0.00060265,             0.99225,             0.97203,              0.9931,             0.84584,            0.014067,           0.0053681,          0.00027146,           0.0092995,           0.0092995,           0.0092995
                  38,            0.016603,            0.021204,          0.00071679,             0.98333,             0.97722,             0.99298,             0.84525,            0.013881,           0.0054036,          0.00024595,           0.0092611,           0.0092611,           0.0092611
                  39,            0.016477,            0.020543,          0.00057539,             0.97088,             0.97875,             0.99273,             0.83999,             0.01398,           0.0053896,          0.00020563,           0.0092219,           0.0092219,           0.0092219
                  40,            0.016899,            0.019927,          0.00050199,             0.98212,             0.97297,              0.9928,             0.84944,            0.013814,           0.0053531,          0.00027451,           0.0091817,           0.0091817,           0.0091817
                  41,            0.016479,            0.021508,          0.00046531,             0.98555,             0.97721,             0.99296,             0.84288,            0.014744,           0.0054228,          0.00015921,           0.0091406,           0.0091406,           0.0091406
                  42,            0.016422,            0.021044,          0.00051119,             0.96791,             0.98533,             0.99237,             0.83861,            0.013786,           0.0053276,          0.00049383,           0.0090986,           0.0090986,           0.0090986
                  43,            0.016345,            0.019758,          0.00046772,             0.97117,             0.97968,             0.99129,             0.84676,            0.013936,            0.005385,            0.000201,           0.0090557,           0.0090557,           0.0090557
                  44,             0.01638,            0.020393,          0.00056965,             0.97389,             0.97789,             0.99246,             0.84486,            0.014424,           0.0052874,          0.00022581,           0.0090119,           0.0090119,           0.0090119
                  45,             0.01665,            0.020679,          0.00049861,             0.98877,             0.96653,             0.99218,             0.84681,            0.014039,           0.0053248,          0.00034797,           0.0089673,           0.0089673,           0.0089673
                  46,            0.016505,            0.020967,          0.00046349,             0.97684,             0.98268,             0.99289,             0.84293,            0.014034,           0.0053325,          0.00028202,           0.0089218,           0.0089218,           0.0089218
                  47,            0.015759,            0.019335,          0.00041383,             0.98143,             0.97448,             0.99275,             0.84991,            0.013771,           0.0053874,          0.00024975,           0.0088755,           0.0088755,           0.0088755
                  48,            0.016188,             0.02102,          0.00045662,             0.97965,             0.97281,             0.99231,             0.84459,            0.014089,           0.0053503,          0.00022912,           0.0088283,           0.0088283,           0.0088283
                  49,            0.015962,            0.019899,          0.00044973,              0.9859,             0.96857,             0.99245,             0.84425,            0.014019,           0.0053407,          0.00016074,           0.0087804,           0.0087804,           0.0087804
                  50,             0.01608,            0.020655,          0.00049838,             0.98472,             0.97456,             0.99267,             0.83916,            0.014402,           0.0054835,          0.00020831,           0.0087316,           0.0087316,           0.0087316
                  51,            0.016464,            0.020556,          0.00039171,             0.98573,             0.96737,             0.99255,             0.84484,            0.014275,           0.0053146,          0.00025947,            0.008682,            0.008682,            0.008682
                  52,            0.016199,            0.020301,          0.00043901,             0.97907,             0.98234,             0.99331,             0.84551,            0.014054,           0.0053652,          0.00026773,           0.0086316,           0.0086316,           0.0086316
                  53,            0.015894,            0.019584,          0.00048912,             0.97401,             0.98383,             0.99337,             0.84629,            0.014416,           0.0053583,          0.00014444,           0.0085805,           0.0085805,           0.0085805
                  54,             0.01597,            0.020035,          0.00037518,             0.97849,             0.96797,             0.99256,             0.84982,            0.014035,           0.0053427,          0.00019495,           0.0085286,           0.0085286,           0.0085286
                  55,            0.015569,            0.020187,           0.0004118,             0.98488,             0.97459,             0.99345,             0.85426,            0.014282,           0.0052606,          0.00016355,           0.0084759,           0.0084759,           0.0084759
                  56,            0.015703,            0.020331,          0.00042908,             0.99194,             0.96861,             0.99312,             0.84789,            0.014138,           0.0053025,          0.00015021,           0.0084225,           0.0084225,           0.0084225
                  57,            0.016243,            0.021218,          0.00039102,             0.98438,             0.97739,             0.99299,             0.84619,            0.013836,           0.0053323,          0.00020406,           0.0083684,           0.0083684,           0.0083684
                  58,            0.015693,            0.020122,          0.00042479,             0.98307,             0.97438,             0.99185,             0.84285,            0.014218,           0.0052687,          0.00019483,           0.0083136,           0.0083136,           0.0083136
                  59,            0.015567,            0.018438,          0.00032909,             0.98371,             0.97771,             0.99329,             0.85661,            0.013811,           0.0051832,          0.00017729,           0.0082581,           0.0082581,           0.0082581
                  60,            0.015924,            0.019581,          0.00041171,             0.98354,             0.97918,             0.99345,             0.85079,              0.0139,           0.0052811,          0.00021706,           0.0082019,           0.0082019,           0.0082019
                  61,            0.015433,            0.019017,           0.0003942,             0.99014,             0.97828,             0.99385,             0.84862,            0.013797,           0.0052109,          0.00015103,            0.008145,            0.008145,            0.008145
                  62,            0.015894,            0.019584,          0.00036878,             0.98846,             0.98398,             0.99362,             0.85357,            0.013701,           0.0052402,          0.00020781,           0.0080875,           0.0080875,           0.0080875
                  63,            0.015769,            0.019597,          0.00035088,             0.97774,             0.98714,             0.99401,             0.85417,            0.013638,           0.0052579,          0.00019585,           0.0080294,           0.0080294,           0.0080294
                  64,            0.015787,            0.020645,           0.0003503,             0.98056,             0.97699,              0.9936,             0.85168,            0.013821,           0.0051906,          0.00013573,           0.0079706,           0.0079706,           0.0079706
                  65,            0.015111,            0.019551,           0.0003239,              0.9749,             0.98728,             0.99364,             0.84796,            0.013651,           0.0051963,          0.00013209,           0.0079112,           0.0079112,           0.0079112
                  66,             0.01555,            0.019806,          0.00037064,             0.98653,             0.97024,             0.99307,             0.85606,            0.013693,           0.0051875,          0.00014355,           0.0078512,           0.0078512,           0.0078512
                  67,            0.015107,            0.018739,          0.00031618,             0.98602,             0.97986,             0.99389,             0.85693,            0.013732,           0.0051269,          0.00011834,           0.0077907,           0.0077907,           0.0077907
                  68,            0.015317,            0.018389,          0.00031339,              0.9832,             0.97955,             0.99323,             0.85633,            0.013569,           0.0052238,          0.00015413,           0.0077296,           0.0077296,           0.0077296
                  69,            0.015288,             0.01936,          0.00037171,             0.97981,             0.97757,             0.99324,             0.85615,            0.013717,           0.0052248,          0.00025675,           0.0076679,           0.0076679,           0.0076679
                  70,             0.01527,            0.019535,          0.00031713,             0.97747,             0.98956,             0.99357,             0.85803,            0.013587,           0.0051998,          0.00017749,           0.0076057,           0.0076057,           0.0076057
                  71,            0.015194,            0.019965,          0.00028737,             0.98789,             0.97263,             0.99271,             0.85114,            0.013515,           0.0052289,          0.00024291,            0.007543,            0.007543,            0.007543
                  72,            0.015443,            0.019038,          0.00036841,             0.98738,             0.97579,             0.99391,             0.85967,            0.013818,           0.0051676,          0.00013134,           0.0074797,           0.0074797,           0.0074797
                  73,            0.015742,            0.020575,          0.00037681,             0.98205,             0.98217,             0.99376,             0.85285,            0.014006,           0.0051662,          0.00013226,            0.007416,            0.007416,            0.007416
                  74,            0.015537,            0.019215,          0.00041843,             0.97714,              0.9813,              0.9933,             0.85811,            0.013646,           0.0051657,          0.00016451,           0.0073518,           0.0073518,           0.0073518
                  75,            0.015366,            0.019768,          0.00031767,             0.98162,             0.98049,             0.99374,             0.85694,              0.0136,           0.0051488,          0.00017258,           0.0072872,           0.0072872,           0.0072872
                  76,            0.015297,            0.019782,          0.00037195,             0.97908,             0.98397,             0.99366,             0.85775,            0.013636,           0.0051685,           0.0002046,           0.0072221,           0.0072221,           0.0072221
                  77,            0.015094,            0.020134,          0.00035861,             0.98425,             0.98185,             0.99389,             0.85823,            0.013751,            0.005125,          0.00012035,           0.0071566,           0.0071566,           0.0071566
                  78,            0.015344,             0.01965,          0.00028751,             0.98248,             0.97984,             0.99357,              0.8586,            0.013609,           0.0051839,          0.00017815,           0.0070906,           0.0070906,           0.0070906
                  79,            0.015138,             0.01923,          0.00031469,              0.9896,             0.97495,             0.99378,             0.86221,            0.013462,           0.0051229,          0.00011425,           0.0070243,           0.0070243,           0.0070243
                  80,            0.015152,             0.01957,          0.00030942,             0.98931,              0.9715,              0.9936,             0.85841,            0.013507,           0.0051054,          0.00017596,           0.0069576,           0.0069576,           0.0069576
                  81,            0.014991,            0.019221,          0.00050271,             0.98388,             0.97953,              0.9935,             0.85266,            0.014104,           0.0050929,          0.00017226,           0.0068906,           0.0068906,           0.0068906
                  82,            0.015104,             0.02001,          0.00042173,             0.98613,             0.98117,             0.99378,             0.86181,            0.013482,           0.0051127,          0.00015166,           0.0068232,           0.0068232,           0.0068232
                  83,            0.014903,            0.019515,          0.00041282,             0.98365,             0.98161,             0.99389,             0.86055,            0.013774,           0.0051035,           0.0002191,           0.0067555,           0.0067555,           0.0067555
                  84,            0.015281,            0.018781,          0.00033407,             0.98579,              0.9744,             0.99357,             0.86096,            0.013719,           0.0050818,          0.00029354,           0.0066874,           0.0066874,           0.0066874
                  85,            0.014995,            0.020614,          0.00036166,              0.9833,             0.97952,              0.9934,              0.8616,            0.013523,           0.0051198,          0.00026911,           0.0066191,           0.0066191,           0.0066191
                  86,            0.015424,            0.020002,          0.00039753,             0.98237,             0.98181,             0.99337,             0.86344,            0.013392,           0.0051031,          0.00022954,           0.0065505,           0.0065505,           0.0065505
                  87,            0.014842,            0.020474,          0.00034952,             0.98879,             0.97193,             0.99355,              0.8637,            0.013634,           0.0050733,          0.00015336,           0.0064816,           0.0064816,           0.0064816
                  88,            0.014889,            0.018826,          0.00031585,             0.98028,             0.98529,             0.99389,             0.86371,            0.013473,           0.0051008,          0.00022031,           0.0064125,           0.0064125,           0.0064125
                  89,            0.015043,            0.018762,          0.00027409,             0.98335,             0.97972,             0.99353,             0.86106,            0.013557,           0.0050884,          0.00013422,           0.0063432,           0.0063432,           0.0063432
                  90,            0.015419,            0.020533,          0.00044109,             0.98675,             0.97419,             0.99311,             0.86095,            0.013411,           0.0051161,          0.00019953,           0.0062737,           0.0062737,           0.0062737
                  91,             0.01484,            0.019249,          0.00032016,             0.98883,             0.97952,             0.99301,              0.8633,            0.013556,           0.0051019,          0.00016137,            0.006204,            0.006204,            0.006204
                  92,            0.014813,            0.018664,          0.00032074,             0.98768,             0.97431,             0.99326,             0.85934,            0.013485,           0.0051187,          0.00016589,           0.0061341,           0.0061341,           0.0061341
                  93,            0.014884,            0.018696,          0.00029236,             0.97791,             0.98648,             0.99358,             0.86189,            0.013511,           0.0050713,          0.00017364,            0.006064,            0.006064,            0.006064
                  94,            0.014863,            0.019155,          0.00025531,             0.98649,             0.97757,             0.99377,             0.86174,            0.013556,           0.0051513,          0.00014327,           0.0059938,           0.0059938,           0.0059938
                  95,            0.014815,            0.019414,          0.00037036,             0.99219,             0.97363,             0.99381,             0.86117,            0.013452,           0.0051718,          0.00012827,           0.0059235,           0.0059235,           0.0059235
                  96,             0.01461,            0.017599,          0.00033748,             0.97583,             0.98551,             0.99347,             0.86405,            0.013311,           0.0051482,          7.3026e-05,           0.0058531,           0.0058531,           0.0058531
                  97,            0.014841,             0.01923,          0.00044917,             0.98663,             0.98216,             0.99391,              0.8628,            0.013406,            0.005076,          0.00014876,           0.0057826,           0.0057826,           0.0057826
                  98,            0.014297,            0.017661,          0.00032217,             0.98664,             0.97794,              0.9935,             0.86545,            0.013561,           0.0050905,          0.00019277,            0.005712,            0.005712,            0.005712
